Price,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,
2024-07-29,183.2,184.75,182.38,183.84,33270100
2024-07-30,181.71,185.86,179.38,184.72,39508600
2024-07-31,186.98,187.94,184.46,185.05,41667300
2024-08-01,184.07,190.6,181.87,189.29,70435600
2024-08-02,167.9,168.77,160.55,166.75,141448400
2024-08-05,161.02,162.96,151.61,154.21,83149400
2024-08-06,161.93,165.08,158.54,161.71,59950800
2024-08-07,162.77,167.58,161.43,166.55,48408200
2024-08-08,165.8,166.69,162.55,165.17,44616200
2024-08-09,166.94,168.55,165.85,166.4,36401000
2024-08-12,166.8,168.55,166.11,168.14,30072800
2024-08-13,170.23,171.04,167.1,167.81,39237900
2024-08-14,170.1,172.28,168.86,172.11,28843800
2024-08-15,177.59,177.91,173.99,174.86,51698500
2024-08-16,177.06,178.34,176.26,177.04,31489200
2024-08-19,178.22,178.3,176.16,177.64,31129800
2024-08-20,178.88,179.01,177.43,177.92,26255200
2024-08-21,180.11,182.39,178.89,179.92,35599100
2024-08-22,176.13,181.47,175.68,181.38,32047500
2024-08-23,177.04,178.97,175.24,177.34,29150100
2024-08-26,175.5,177.47,174.3,176.7,22366200
2024-08-27,173.12,174.89,172.25,174.15,29842000
2024-08-28,170.8,173.69,168.92,173.69,29045000
2024-08-29,172.12,174.29,170.81,173.22,26407800
2024-08-30,178.5,178.9,172.6,172.78,43429400
2024-09-03,176.25,178.26,175.26,177.55,37817500
2024-09-04,173.33,175.98,172.54,174.48,30309200
2024-09-05,177.89,179.88,175.0,175.0,40170500
2024-09-06,171.39,178.38,171.16,177.24,41466500
2024-09-09,175.4,175.85,173.51,174.53,29037400
2024-09-10,179.55,180.5,176.79,177.49,36233800
2024-09-11,184.52,184.99,175.73,180.1,42564700
2024-09-12,187.0,187.41,183.54,184.8,33544200
2024-09-13,186.49,188.5,185.91,187.0,26495400
2024-09-16,184.89,185.81,183.36,185.29,26065500
2024-09-17,186.88,189.45,186.14,186.85,26091700
2024-09-18,186.43,188.8,185.06,186.45,34448100
2024-09-19,189.87,190.99,188.47,190.04,39543200
2024-09-20,191.6,191.84,187.41,190.23,100378600
2024-09-23,193.88,194.45,190.57,191.64,36993100
2024-09-24,193.96,195.37,190.13,194.27,43478900
2024-09-25,192.53,193.95,192.16,193.75,26391100
2024-09-26,191.16,194.53,189.54,194.31,36334900
2024-09-27,187.97,190.9,187.34,190.68,36002300
2024-09-30,186.33,188.49,184.65,187.14,41583900
2024-10-01,185.13,186.19,183.45,184.9,36044900
2024-10-02,184.76,186.6,184.04,184.44,23704100
2024-10-03,181.96,183.44,180.88,183.05,30204300
2024-10-04,186.51,187.6,183.6,185.75,40890300
2024-10-07,180.8,183.6,180.25,182.95,42364200
2024-10-08,182.72,183.09,180.92,181.92,26372100
2024-10-09,185.17,185.85,182.05,182.82,26343100
2024-10-10,186.65,188.13,185.83,187.13,27785000
2024-10-11,188.82,189.93,186.3,186.63,25751600
2024-10-14,187.54,189.83,187.36,189.78,22614400
2024-10-15,187.69,188.41,184.58,187.63,32178900
2024-10-16,186.89,187.78,185.61,187.05,23456800
2024-10-17,187.53,188.94,186.0,188.22,25039400
2024-10-18,188.99,190.74,186.28,187.15,37417700
2024-10-21,189.07,189.46,186.4,188.05,24639400
2024-10-22,189.7,191.52,186.98,188.35,29650600
2024-10-23,184.71,189.16,183.69,188.85,31937100
2024-10-24,186.38,187.11,183.86,185.25,21647400
2024-10-25,187.83,190.45,187.53,187.85,29362100
2024-10-28,188.39,190.21,188.21,189.57,27930800
2024-10-29,190.83,191.46,187.82,188.58,35690200
2024-10-30,192.73,195.61,192.42,194.7,37707600
2024-10-31,186.4,190.6,185.23,190.51,75146800
2024-11-01,197.93,200.5,197.02,199.0,99687800
2024-11-04,195.78,197.33,194.31,196.45,38492100
2024-11-05,199.5,199.82,195.99,196.04,30564800
2024-11-06,207.09,207.55,199.14,200.01,72292200
2024-11-07,210.05,212.25,207.19,207.44,52878400
2024-11-08,208.18,209.96,207.44,209.72,36075800
2024-11-11,206.84,209.65,205.59,208.5,35456000
2024-11-12,208.91,209.54,206.01,208.37,38942900
2024-11-13,214.1,215.09,209.14,209.4,46212900
2024-11-14,211.48,215.9,210.88,214.16,42620300
2024-11-15,202.61,207.34,199.61,206.76,86591100
2024-11-18,201.7,204.67,200.95,204.15,36409900
2024-11-19,204.61,205.3,198.78,199.33,31197900
2024-11-20,202.88,203.13,199.45,202.98,32769000
2024-11-21,198.38,203.49,195.75,203.49,58800000
2024-11-22,197.12,199.26,196.75,198.25,31530800
2024-11-25,201.45,201.95,199.0,199.28,40685700
2024-11-26,207.86,208.0,201.79,201.9,41673700
2024-11-27,205.74,207.64,205.05,206.98,28061600
2024-11-29,207.89,208.2,204.59,205.83,24892400
2024-12-02,210.71,212.99,209.51,209.96,39523200
2024-12-03,213.44,214.02,209.65,210.31,32214800
2024-12-04,218.16,220.0,215.75,215.96,48745700
2024-12-05,220.55,222.15,217.3,218.03,41140200
2024-12-06,227.03,227.15,220.6,220.75,44178100
2024-12-09,226.09,230.08,225.67,227.21,46819400
2024-12-10,225.04,229.06,224.2,226.09,31199900
2024-12-11,230.26,231.2,226.26,226.41,35385800
2024-12-12,228.97,231.09,227.63,229.83,28204100
2024-12-13,227.46,230.2,225.86,228.4,28768100
2024-12-16,232.93,233.0,228.01,230.23,37552100
2024-12-17,231.15,232.73,227.85,232.39,35948100
2024-12-18,220.52,231.4,220.11,230.77,43281400
2024-12-19,223.29,226.09,222.92,224.91,39918700
2024-12-20,224.92,226.21,218.73,219.84,88279200
2024-12-23,225.06,226.88,223.9,225.01,28070000
2024-12-24,229.05,229.14,226.13,226.94,15007500
2024-12-26,227.05,228.5,226.67,228.5,16146700
2024-12-27,223.75,226.03,220.9,225.6,27367100
2024-12-30,221.3,223.0,218.43,220.06,28321200
2024-12-31,219.39,223.23,218.94,222.97,24819700
2025-01-02,220.22,225.15,218.19,222.03,33956600
2025-01-03,224.19,225.36,221.62,222.51,27515600
2025-01-06,227.61,228.84,224.84,226.78,31849800
2025-01-07,222.11,228.38,221.46,227.9,28084200
2025-01-08,222.13,223.52,220.2,223.19,25033300
2025-01-10,218.94,221.71,216.5,221.46,36811500
2025-01-13,218.46,219.4,216.47,218.06,27262700
2025-01-14,217.76,221.82,216.2,220.44,24711700
2025-01-15,223.35,223.57,220.75,222.83,31291300
2025-01-16,220.66,224.65,220.31,224.42,24757300
2025-01-17,225.94,226.51,223.08,225.84,42370100
2025-01-21,230.71,231.78,226.94,228.9,39951500
2025-01-22,235.01,235.44,231.19,232.02,41448200
2025-01-23,235.42,235.52,231.51,234.1,26404400
2025-01-24,234.85,236.4,232.93,234.5,25890700
2025-01-27,235.42,235.61,225.86,226.21,49428300
2025-01-28,238.15,241.77,233.98,234.29,41587200
2025-01-29,237.07,240.39,236.15,239.02,26091700
2025-01-30,234.64,237.95,232.22,237.14,32020700
2025-01-31,237.68,240.29,236.41,236.5,36110200
2025-02-03,237.42,239.25,232.9,234.06,37285900
2025-02-04,242.06,242.52,238.03,239.01,29713800
2025-02-05,236.17,238.32,235.2,237.02,38727300
2025-02-06,238.83,239.66,236.01,238.01,60897100
2025-02-07,229.15,234.81,228.06,232.5,77539300
2025-02-10,233.14,233.92,229.2,230.55,35419900
2025-02-11,232.76,233.44,230.13,231.92,23713700
2025-02-12,228.93,231.18,228.16,230.46,32285200
2025-02-13,230.37,230.42,227.52,228.85,31346500
2025-02-14,228.68,229.89,227.23,229.2,27031100
2025-02-18,226.65,229.3,223.72,228.82,42975100
2025-02-19,226.63,226.83,223.71,225.52,28566700
2025-02-20,222.88,225.13,221.81,224.78,30001700
2025-02-21,216.58,223.31,214.74,223.28,55323900
2025-02-24,212.71,217.72,212.42,217.45,42387600
2025-02-25,212.8,213.34,204.16,211.63,58958000
2025-02-26,214.35,218.16,213.09,214.94,39120600
2025-02-27,208.74,219.97,208.37,218.35,40548600
2025-02-28,212.28,212.62,206.99,208.65,51771700
2025-03-03,205.02,214.01,202.55,213.35,42948400
2025-03-04,203.8,206.8,197.43,200.11,60853100
2025-03-05,208.36,209.98,203.26,204.8,38610100
2025-03-06,200.7,205.77,198.3,204.4,49863800
2025-03-07,199.25,202.27,192.53,199.49,59802800
2025-03-10,194.54,196.73,190.85,195.6,62350900
2025-03-11,196.59,200.18,193.4,193.9,54002900
2025-03-12,198.89,201.52,195.29,200.72,43679300
2025-03-13,193.89,198.88,191.82,198.17,41270800
2025-03-14,197.95,198.65,195.32,197.41,38096700
2025-03-17,195.74,199.0,194.32,198.77,47341800
2025-03-18,192.82,194.0,189.38,192.52,40414900
2025-03-19,195.54,195.97,191.96,193.38,39442900
2025-03-20,194.95,199.32,192.3,193.07,38921100
2025-03-21,196.21,196.99,192.52,192.9,60056900
2025-03-24,203.26,203.64,199.95,200.0,41625400
2025-03-25,205.71,206.21,203.22,203.6,31171200
2025-03-26,201.13,206.01,199.93,205.84,32855300
2025-03-27,201.36,203.79,199.28,200.89,27317700
2025-03-28,192.72,199.26,191.88,198.42,52548200
2025-03-31,190.26,191.33,184.4,188.19,63547600
2025-04-01,192.17,193.93,187.2,187.86,41267300
2025-04-02,196.01,198.34,187.66,187.66,53679200
2025-04-03,178.41,184.13,176.92,183.0,95553600
2025-04-04,171.0,178.14,166.0,167.15,123159400
2025-04-07,175.26,183.41,161.38,162.0,109327100
2025-04-08,170.66,185.9,168.57,185.23,87710400
2025-04-09,191.1,192.65,169.93,172.12,116804300
2025-04-10,181.22,186.87,175.85,185.44,68302000
2025-04-11,184.87,185.86,178.0,179.93,50594300
2025-04-14,182.12,187.44,179.23,186.84,48002500
2025-04-15,179.59,182.35,177.93,181.41,43642000
2025-04-16,174.33,179.1,171.41,176.29,51875300
2025-04-17,172.61,176.21,172.0,176.0,44726500
2025-04-21,167.32,169.6,165.29,169.6,48126100
2025-04-22,173.18,176.78,169.35,169.85,56607200
2025-04-23,180.6,187.38,180.19,183.45,63470100
2025-04-24,186.54,186.74,180.18,180.92,43763200
2025-04-25,188.99,189.94,185.49,187.62,36414300
2025-04-28,187.7,190.22,184.89,190.11,33224700
2025-04-29,187.39,188.02,183.68,183.99,41667300
2025-04-30,184.42,185.05,178.85,182.17,55176500
2025-05-01,190.2,191.81,187.5,190.63,74266000
2025-05-02,189.98,192.88,186.4,191.44,77903500
2025-05-05,186.35,188.18,185.53,186.51,35217500
2025-05-06,185.01,187.93,183.85,184.57,29314100
2025-05-07,188.71,190.99,185.01,185.56,43948600
2025-05-08,192.08,194.33,188.82,191.43,41043600
2025-05-09,193.06,194.69,191.16,193.38,29663100
2025-05-12,208.64,211.66,205.75,210.71,75205000
2025-05-13,211.37,214.84,210.1,211.08,56193700
2025-05-14,210.25,211.93,208.85,211.45,38492100
2025-05-15,205.17,206.88,202.67,206.45,64347300
2025-05-16,205.59,206.85,204.37,206.85,43318500
2025-05-19,206.16,206.62,201.26,201.65,34314800
2025-05-20,204.07,205.59,202.65,204.63,29470400
2025-05-21,201.12,203.46,200.06,201.61,42460900
2025-05-22,203.1,205.76,200.16,201.38,38938900
2025-05-23,200.99,202.37,197.85,198.9,33393500
2025-05-27,206.02,206.69,202.19,203.09,34892000
2025-05-28,204.72,207.66,204.41,205.92,28549800
2025-05-29,205.7,208.81,204.23,208.03,34650000
2025-05-30,205.01,205.99,201.7,204.84,51679400
2025-06-02,206.65,207.0,202.68,204.98,29113300
2025-06-03,205.71,208.95,205.03,207.11,33139100
2025-06-04,207.23,208.18,205.18,206.55,29915600
2025-06-05,207.91,212.81,207.56,209.55,51864200
2025-06-06,213.57,213.87,210.5,212.4,39832500
2025-06-09,216.98,217.85,212.88,214.75,38102500
2025-06-10,217.61,217.69,214.15,216.78,31303300
2025-06-11,213.2,218.4,212.89,217.41,39326000
2025-06-12,213.24,213.58,211.33,211.78,27640000
2025-06-13,212.1,214.05,209.62,209.96,29337800
2025-06-16,216.1,217.06,211.6,212.31,33284200
2025-06-17,214.82,217.41,214.56,215.2,32086300
2025-06-18,212.52,217.96,212.34,215.09,44360500
2025-06-20,209.69,214.89,208.27,214.68,75350700
2025-06-23,208.47,210.39,207.31,209.79,37311700
2025-06-24,212.77,214.34,211.05,212.14,38378800
2025-06-25,211.99,216.03,211.11,214.62,31755700
2025-06-26,217.12,218.04,212.01,213.12,50480800
2025-06-27,223.3,223.3,216.74,219.92,119217100
2025-06-30,219.39,223.82,219.12,223.52,58887800
2025-07-01,220.46,221.88,217.93,219.5,39256800
2025-07-02,219.92,221.6,219.06,219.73,30894200
2025-07-03,223.41,224.01,221.36,221.82,29632400
2025-07-07,223.47,224.29,222.37,223.0,36604100
2025-07-08,219.36,224.0,218.43,223.92,45692000
2025-07-09,222.54,224.29,220.47,221.07,38155100
2025-07-10,222.26,222.79,219.7,221.55,30370600
2025-07-11,225.02,226.68,222.37,223.58,50518300
2025-07-14,225.69,226.66,224.24,225.07,35702600
2025-07-15,226.35,227.27,225.46,226.2,34907300
2025-07-16,223.19,226.1,222.18,225.88,39535900
2025-07-17,223.88,224.5,222.51,223.32,31855800
2025-07-18,226.13,226.4,222.98,225.14,37833800
2025-07-21,229.3,229.69,225.65,225.84,40297600
2025-07-22,227.47,230.0,226.35,229.68,37483700
2025-07-23,228.29,228.79,227.09,228.47,28294900
2025-07-24,232.23,236.0,228.64,229.17,42902300
2025-07-25,231.44,232.48,231.18,232.22,28712100
2025-07-28,232.79,234.29,232.25,233.35,26300100
2025-07-29,231.01,234.72,230.31,234.15,33716200
2025-07-30,230.19,231.8,229.29,231.64,32993300
2025-07-31,234.11,236.53,231.4,235.77,104357300
2025-08-01,214.75,220.44,212.8,217.21,122258800
2025-08-04,211.65,217.44,211.42,217.4,77890100
2025-08-05,213.75,216.3,212.87,213.05,51505100
2025-08-06,222.31,222.65,213.74,214.7,54823000
2025-08-07,223.13,226.22,220.82,221.0,40603500
2025-08-08,222.69,223.8,221.88,223.14,32970500
2025-08-11,221.3,223.05,220.4,221.78,31646200
2025-08-12,221.47,223.5,219.05,222.23,37185800
2025-08-13,224.56,224.92,222.0,222.0,36508300
2025-08-14,230.98,233.11,227.02,227.4,61545800
2025-08-15,231.03,234.08,229.81,232.58,39649200
2025-08-18,231.49,231.91,228.33,230.23,25248900
2025-08-19,228.01,230.53,227.12,230.09,29891000
2025-08-20,223.81,227.27,220.92,227.12,36604300
2025-08-21,221.95,222.78,220.5,222.65,32140500
2025-08-22,228.84,229.14,220.82,222.79,37315300
2025-08-25,227.94,229.6,227.31,227.35,22633700
2025-08-26,228.71,229.0,226.02,227.11,26105400
2025-08-27,229.12,229.87,227.81,228.57,21254500
2025-08-28,231.6,232.71,228.02,229.01,33679600
2025-08-29,229.0,231.81,228.16,231.32,26199200
2025-09-02,225.34,226.17,221.83,223.52,38843900
2025-09-03,225.99,227.17,224.36,225.21,29223100
2025-09-04,235.68,235.77,230.78,231.19,59391800
2025-09-05,232.33,236.0,231.93,235.19,36721800
2025-09-08,235.84,237.6,233.75,234.94,33947100
2025-09-09,238.24,238.85,235.08,236.36,27033800
2025-09-10,230.33,237.68,229.1,237.52,60907700
2025-09-11,229.95,231.53,229.34,231.49,37485600
2025-09-12,228.15,230.79,226.29,230.35,38496200
2025-09-15,231.43,233.73,230.32,230.63,33243300
2025-09-16,234.05,235.9,232.23,232.94,38203900
2025-09-17,231.62,234.3,228.71,233.77,42815200
2025-09-18,231.23,233.48,228.79,232.5,37931700
2025-09-19,231.48,234.16,229.7,232.37,97943200
2025-09-22,227.63,230.57,227.51,230.56,45914500
2025-09-23,220.71,227.86,220.07,227.83,70956200
2025-09-24,220.21,224.56,219.45,224.15,49509000
2025-09-25,218.15,220.67,216.47,220.06,52226300
2025-09-26,219.78,221.05,218.02,219.08,41650100
2025-09-29,222.17,222.6,219.3,220.08,44259200
2025-09-30,219.57,222.24,217.89,222.03,48396400
2025-10-01,220.63,222.15,216.61,217.36,43933800
2025-10-02,222.41,222.81,218.95,221.01,41258600
2025-10-03,219.51,224.2,219.34,223.44,43639000
2025-10-06,220.9,221.73,216.03,221.0,43690900
2025-10-07,221.78,222.89,220.17,220.88,31194700
2025-10-08,225.22,226.73,221.19,222.92,46686000
2025-10-09,227.74,228.21,221.75,225.0,46412100
2025-10-10,216.37,228.25,216.0,226.21,72367500
2025-10-13,220.07,220.68,217.04,217.7,37809700
2025-10-14,216.39,219.32,212.6,215.56,45665600
2025-10-15,215.57,217.71,212.66,216.62,45909500
2025-10-16,214.47,218.59,212.81,215.67,42414600
2025-10-17,213.04,214.8,211.03,214.56,45986900
2025-10-20,216.48,216.69,213.59,213.88,38882800
2025-10-21,222.03,223.32,217.99,218.43,50494600
2025-10-22,217.95,220.01,216.52,219.3,44308500
2025-10-23,221.09,221.3,218.18,219.0,31540000
2025-10-24,224.21,225.4,221.9,221.97,38685100
2025-10-27,226.97,228.4,225.54,227.66,38267000
2025-10-28,229.25,231.49,226.21,228.22,47100000
2025-10-29,230.3,232.82,227.76,231.67,52036200
2025-10-30,222.86,228.44,222.75,227.06,102252900
2025-10-31,244.22,250.5,243.98,250.1,166340800
2025-11-03,254.0,258.6,252.9,255.36,95997800
2025-11-04,249.32,257.01,248.66,250.38,51546300
2025-11-05,250.2,251.0,246.16,249.03,40610700
2025-11-06,243.04,250.38,242.17,249.16,46004200
2025-11-07,244.41,244.9,238.49,242.9,46374300
2025-11-10,248.4,251.75,245.59,248.34,36476500
2025-11-11,249.1,249.75,247.23,248.41,23564100
2025-11-12,244.2,250.37,243.75,250.24,31190100
2025-11-13,237.58,243.75,236.5,243.05,41401700
2025-11-14,234.69,238.73,232.89,235.06,38956700
2025-11-17,232.87,234.6,229.19,233.25,59919000
2025-11-18,222.55,230.2,222.42,228.1,60608400
2025-11-19,222.69,223.74,218.52,223.74,58335600
2025-11-20,217.14,227.41,216.74,227.05,50309000
2025-11-21,220.69,222.21,215.18,216.35,68490500
2025-11-24,226.28,227.33,222.27,222.56,54318400
2025-11-25,229.67,230.52,223.8,226.38,39379300
2025-11-26,229.16,231.75,228.77,230.74,38497900
2025-11-28,233.22,233.29,230.22,231.24,20292300
2025-12-01,233.88,235.8,232.25,233.22,42904000
2025-12-02,234.42,238.97,233.55,235.01,45785400
2025-12-03,232.38,233.38,230.61,233.35,35495100
2025-12-04,229.11,233.5,226.8,232.77,45683200
2025-12-05,229.53,231.24,228.55,230.32,33117400
2025-12-08,226.89,230.83,226.27,229.59,35019200
2025-12-09,227.92,228.57,225.11,226.84,25841700
2025-12-10,231.78,232.42,228.46,228.81,38790700
2025-12-11,230.28,232.11,228.69,230.71,28249600
2025-12-12,226.19,230.08,225.12,229.87,35639100
2025-12-15,222.54,227.93,221.5,227.93,47286100
2025-12-16,222.56,223.66,221.13,223.04,39298900
2025-12-17,221.27,225.19,220.99,224.66,44034400
2025-12-18,226.76,229.23,224.41,225.71,50272400
2025-12-19,227.35,229.13,225.58,226.76,85544400
2025-12-22,228.43,229.48,226.71,228.61,32261300
2025-12-23,232.14,232.45,228.73,229.06,29230200
2025-12-24,232.38,232.95,231.33,232.13,11420500
2025-12-26,232.52,232.99,231.18,232.04,15994700
2025-12-29,232.07,232.6,230.77,231.94,19797900
2025-12-30,232.53,232.77,230.2,231.21,21910500
2025-12-31,230.82,232.99,230.12,232.91,24383700
2026-01-02,226.5,235.46,224.7,231.34,51456200
2026-01-05,233.06,234.0,227.18,228.84,49733300
2026-01-06,240.93,243.18,232.07,232.1,53764700
2026-01-07,241.56,245.29,239.52,239.61,42236500
2026-01-08,246.29,246.41,241.88,243.06,39509800
2026-01-09,247.38,247.86,242.24,244.57,34560000
2026-01-12,246.47,248.94,245.96,246.73,35867800
2026-01-13,242.6,247.66,240.25,246.53,38371800
2026-01-14,236.65,241.28,236.22,241.15,41410600
2026-01-15,238.18,240.65,236.63,239.31,43003600
2026-01-16,239.12,239.57,236.41,239.09,45888300
2026-01-20,231.0,235.09,229.34,233.76,47737900
2026-01-21,231.31,232.3,226.88,231.09,47276100
2026-01-22,234.34,235.72,230.9,234.05,31913300
2026-01-23,239.16,240.45,234.57,234.96,33778500
2026-01-26,238.42,240.95,237.54,239.98,32825500
2026-01-27,244.68,244.88,238.08,239.69,38029200
2026-01-28,243.01,247.78,241.53,246.37,40882700
2026-01-29,241.73,243.0,236.74,242.82,47229600
2026-01-30,239.3,243.32,237.64,239.89,46585000
2026-02-02,242.96,245.63,238.17,238.31,37546100
2026-02-03,238.62,246.35,235.45,244.98,53831300
2026-02-04,232.99,238.86,231.82,238.86,51299900
2026-02-05,222.69,226.31,220.38,224.91,103509200
2026-02-06,210.32,211.44,200.31,202.7,179210900
2026-02-09,208.72,212.81,203.35,208.97,91178400
2026-02-10,206.96,212.65,206.41,208.8,67175000
2026-02-11,204.08,208.57,202.49,208.06,65545500
2026-02-12,199.6,203.96,197.56,203.96,83975400
2026-02-13,198.79,201.16,197.28,198.88,66321600
2026-02-17,201.15,201.74,196.0,198.13,69879200
2026-02-18,204.79,206.86,201.51,202.07,51003300
2026-02-19,204.86,205.64,202.81,203.8,35669600
2026-02-20,210.11,211.17,203.75,204.76,65881600
2026-02-23,205.27,208.43,203.11,208.1,53581500
2026-02-24,208.56,210.36,203.25,205.47,41137200
2026-02-25,210.64,211.59,208.93,210.46,41346400
2026-02-26,207.92,211.05,205.35,210.73,47756800
2026-02-27,210.0,210.33,205.2,206.83,57422800
2026-03-02,208.39,209.73,203.46,204.55,46001000
2026-03-03,208.73,209.18,202.48,203.1,43184900
2026-03-04,216.82,217.54,210.15,210.47,54731100
2026-03-05,218.94,220.47,215.59,215.98,60943400
2026-03-06,213.21,217.32,212.53,214.99,51152700
2026-03-09,213.49,213.82,207.11,210.45,54642900
2026-03-10,214.33,215.65,212.43,214.19,35678800
2026-03-11,212.65,217.0,211.35,215.71,34199300
2026-03-12,209.53,211.71,208.15,210.39,44349500
2026-03-13,207.67,210.56,206.22,209.61,35662100
2026-03-16,211.74,212.72,207.45,208.35,42209300
2026-03-17,215.2,215.7,212.43,212.82,44969900
2026-03-18,209.87,215.14,208.83,213.93,37846600
2026-03-19,208.76,209.12,206.05,207.06,36440600
2026-03-20,205.37,207.54,204.32,207.4,63694600
2026-03-23,210.14,212.8,209.51,209.79,44277400
2026-03-24,207.24,209.35,206.64,207.95,35351400
2026-03-25,211.71,213.07,209.9,211.56,36388800
2026-03-26,207.54,212.89,207.12,210.61,46746000
2026-03-27,199.34,206.6,199.14,206.46,56009800
2026-03-30,200.95,203.8,199.98,201.48,46373800
2026-03-31,208.27,210.28,204.14,204.85,58470100
2026-04-01,210.57,213.58,208.19,210.44,45955400
2026-04-02,209.77,212.21,204.9,206.54,31453000
2026-04-06,212.79,212.95,209.59,209.8,25385500
2026-04-07,213.77,213.97,209.08,211.24,28154600
2026-04-08,221.25,226.1,219.62,223.79,51092700
2026-04-09,233.65,233.8,223.27,225.23,65964200
2026-04-10,238.38,240.43,235.21,235.3,56912800
2026-04-13,239.89,240.0,235.75,237.45,42166200
2026-04-14,249.02,252.18,241.78,241.78,72685000
2026-04-15,248.5,250.44,247.2,249.25,43045200
2026-04-16,249.7,250.0,244.2,248.51,41895700
2026-04-17,250.56,256.18,250.11,254.99,52029300
2026-04-20,248.28,250.18,245.37,249.19,39463100
2026-04-21,249.91,255.09,249.1,255.09,42922400
2026-04-22,255.36,255.94,250.33,252.44,36065100
2026-04-23,255.08,258.79,253.07,255.39,39091400
2026-04-24,263.99,264.5,257.69,259.98,53777400
2026-04-27,261.12,264.15,260.34,263.46,44906800
2026-04-28,259.7,261.03,256.63,258.39,42204400
2026-04-29,263.04,265.91,257.7,257.99,72367900
2026-04-30,265.06,273.88,256.16,273.17,100974900
2026-05-01,268.26,273.32,262.74,265.58,50825200
2026-05-04,272.05,276.1,268.8,268.8,49083700
2026-05-05,273.55,278.56,272.38,276.08,41908500
2026-05-06,274.99,277.8,272.21,272.89,44552000
2026-05-07,271.17,276.63,270.49,275.02,35892900
2026-05-08,272.68,274.0,269.95,271.63,34732700
2026-05-11,268.99,273.63,268.48,269.84,38176700
2026-05-12,265.82,267.65,262.63,266.71,36776200
2026-05-13,270.13,270.72,263.2,264.43,39670900
2026-05-14,267.22,270.78,266.63,269.15,31338400
2026-05-15,264.14,264.36,260.89,262.5,40770300
2026-05-18,264.86,268.85,262.53,263.87,33690800
2026-05-19,259.34,262.25,255.19,262.04,40340700
2026-05-20,265.01,265.58,259.53,260.05,34933200
2026-05-21,268.46,269.49,261.37,263.5,36591700
2026-05-22,266.32,269.79,266.24,268.66,27535500
2026-05-26,265.29,269.3,262.07,267.94,38028100
2026-05-27,271.85,272.41,265.7,266.15,40061900
2026-05-28,274.0,274.5,267.44,272.27,40630400
2026-05-29,270.64,274.75,269.64,271.29,54749600
2026-06-01,261.26,266.63,260.7,266.29,53604400
2026-06-02,256.52,261.2,254.37,257.16,41811000
2026-06-03,250.02,257.09,247.71,254.7,51394200
2026-06-04,253.79,255.83,251.75,253.12,35609800
2026-06-05,246.03,256.38,245.78,254.26,55607800
2026-06-08,245.22,249.42,243.36,246.68,33899500
2026-06-09,244.19,250.43,240.4,247.73,44425400
2026-06-10,238.0,244.07,237.45,243.61,38590200
2026-06-11,241.51,242.14,235.18,237.93,41335400
2026-06-12,238.55,243.36,233.59,243.21,51186600
2026-06-15,246.02,247.81,244.73,245.02,41711600
2026-06-16,246.0,249.51,245.45,248.0,35187400
2026-06-17,237.5,245.91,236.0,244.9,44780800
2026-06-18,244.39,245.73,236.02,240.12,75624400
2026-06-22,232.79,242.0,232.24,240.08,68388500
2026-06-23,234.11,236.87,232.0,232.55,60492600
2026-06-24,234.27,242.42,232.95,233.85,70282600
2026-06-25,227.01,232.32,225.55,232.02,77674100
2026-06-26,232.69,233.9,226.13,227.21,248372100
2026-06-29,240.14,249.71,233.8,234.22,77619200
2026-06-30,238.34,241.54,237.17,237.35,66228300
2026-07-01,241.7,244.9,234.9,239.75,53829900
2026-07-02,242.67,246.72,241.08,241.61,48246400
2026-07-06,244.16,246.04,240.88,243.8,40044000
2026-07-07,245.98,248.93,242.7,246.98,40504100
2026-07-08,243.62,244.8,240.52,244.27,29653000
2026-07-09,247.04,247.5,238.25,239.82,38091700
2026-07-10,245.34,251.03,244.41,249.55,31624900
2026-07-13,247.31,249.65,244.18,244.68,34596500
2026-07-14,247.49,248.56,243.8,245.55,30057500
2026-07-15,254.96,256.48,249.75,249.75,45166300
2026-07-16,249.89,258.08,248.0,255.12,45233800
2026-07-17,247.23,250.24,243.59,244.46,43511500
2026-07-20,249.99,252.89,248.0,248.76,32373200
2026-07-21,247.55,249.34,246.42,249.11,27647700
2026-07-22,244.85,248.45,242.45,248.27,33864700
2026-07-23,233.66,238.35,232.05,236.26,47411600
2026-07-24,,,,,33836532
2026-07-27,231.39,235.89,230.99,235.67,34934500
2026-07-28,230.86,233.11,228.1,232.85,44409900
2026-07-29,226.65,232.82,226.16,229.32,44227900
2026-07-30,235.5,239.82,231.06,233.35,100880900
2026-07-31,271.58,273.23,262.01,265.0,128881300
2026-08-03,284.02,287.2,278.0,278.29,90320300
